11/6/2021 8:47:57,person1.personLast1evsck12.com,person1,personLast1,Central High School,"Advanced Manufacturing Technology, Computer Networking Technology/CISCO, Computer Science/Software Development, Electrical Technology, Engineering/Architectural Design Technology, Graphic Communications / Digital Media, HVAC-R and Energy Systems, Precision Machine Metalworking Technology",SICTC Alumni,bob1,
11/6/2021 8:54:44,person11.personLast11evsck12.com,person11,personLast11,Mr. Vernon High School,"Computer Science/Software Development, Culinary Arts, Graphic Communications / Digital Media","High school counselor, Friend or Family Member",bob11,
11/6/2021 9:01:42,person24.personLast24evsck12.com,person24,personLast24,Memorial High School,"Culinary Arts, Graphic Communications / Digital Media, HVAC-R and Energy Systems, Welding Technology","High school counselor, Friend or Family Member",bob24,
11/6/2021 9:13:40,person39.personLast39evsck12.com,person39,personLast39,Reitz High School,"Culinary Arts, Graphic Communications / Digital Media, Welding Technology",High school counselor,bob39,
11/6/2021 9:14:15,person41.personLast41evsck12.com,person41,personLast41,Central High School,"Engineering/Architectural Design Technology, Graphic Communications / Digital Media, Public Safety / Criminal Justice, Radio / TV / Communications","High school counselor, Friend or Family Member, Current SICTC Student, SICTC Information Meetings at High School",bob41,
11/6/2021 9:14:43,person43.personLast43evsck12.com,person43,personLast43,Reitz High School,Graphic Communications / Digital Media,SICTC Information Meetings at High School,bob43,
11/6/2021 9:16:26,person44.personLast44evsck12.com,person44,personLast44,Gibson Southern High School,"Computer Science/Software Development, Graphic Communications / Digital Media, Welding Technology",SICTC Information Meetings at High School,bob44,
11/6/2021 9:32:09,person71.personLast71evsck12.com,person71,personLast71,New Tech Institute,"Computer Networking Technology/CISCO, Computer Science/Software Development, Graphic Communications / Digital Media, Radio / TV / Communications","Informational posters, Friend or Family Member, SICTC Alumni, Current SICTC Student, SICTC Information Meetings at High School",bob71,
11/6/2021 9:38:33,person79.personLast79evsck12.com,person79,personLast79,Gibson Southern High School,"Computer Science/Software Development, Graphic Communications / Digital Media",SICTC Information Meetings at High School,bob79,
11/6/2021 10:01:37,person115.personLast115evsck12.com,person115,personLast115,New Tech Institute,"Culinary Arts, Graphic Communications / Digital Media, Veterinary Sciences",Friend or Family Member,bob115,
11/6/2021 10:13:04,person120.personLast120evsck12.com,person120,personLast120,Castle High School,"Computer Networking Technology/CISCO, Computer Science/Software Development, Engineering/Architectural Design Technology, Graphic Communications / Digital Media, Public Safety / Criminal Justice, Veterinary Sciences",High school counselor,bob120,
11/6/2021 10:25:35,person128.personLast128evsck12.com,person128,personLast128,Gibson Southern High School,"Computer Science/Software Development, Culinary Arts, Graphic Communications / Digital Media",SICTC Information Meetings at High School,bob128,
11/6/2021 11:10:21,person138.personLast138evsck12.com,person138,personLast138,Home School,"Graphic Communications / Digital Media, Radio / TV / Communications","SICTC Website, Friend or Family Member",bob138,
11/7/2021 11:33:17,person140.personLast140evsck12.com,person140,personLast140,Gibson Southern High School,"Graphic Communications / Digital Media, Radio / TV / Communications",Friend or Family Member,bob140,
11/8/2021 7:36:32,person142.personLast142evsck12.com,person142,personLast142,Bosse High School,Graphic Communications / Digital Media,"Friend or Family Member, Current SICTC Student",bob142,
